Nº	NOME	TIPO	ATRIBUTO	RAÇA/PROPRIEDADE	LV	ATK	DEF	ID	DESC
0439	Dark Scorpion Burglars	Monster (Effect)	DARK	Warrior	4	1000	1000	40933924	When this card inflicts Battle Damage to your opponent: Your opponent sends 1 Spell Card from their Deck to the Graveyard.
0440	Dark Scorpion Combination	Trap Card		Normal				20858318	You can only activate this card when there are "Don Zaloog", "Cliff the Trap Remover", "Dark Scorpion - Chick the Yellow", "Dark Scorpion - Gorg the Strong", and "Dark Scorpion - Meanae the Thorn" face-up on your side of the field. During this turn, any of these 5 cards can attack your opponent's Life Points directly. In that case, the Battle Damage inflicted to your opponent by each of those cards becomes 400 points.
0441	Dark Shade	Monster (Normal)	WIND	Fiend	3	1000	1000	40196604	''A crystal monster that unleashes a brilliant light to blind enemies.''
0442	Dark Snake Syndrome	Spell Card		Continuous				47233801	During each of your Standby Phases: Inflict damage to both players. This damage begins at 200 and is doubled during each of your following Standby Phases.
0443	Dark Spirit of the Silent	Trap Card		Normal				93599951	Activate only when an opponent's monster declares an attack. Negate that attack, and select another face-up monster your opponent controls. That monster attacks instead. (If it is in face-up Defense Position, change it to Attack Position.)
0444	Dark Titan of Terror	Monster (Normal)	DARK	Fiend	4	1300	1100	89494469	A fiend said to dwell in the world of dreams, it attacks enemies in their sleep.
0445	Dark Witch	Monster (Normal)	LIGHT	Fairy	5	1800	1700	35565537	A popular creature in mythology that delivers fatal attacks with a sharp spear.
0446	Dark Zebra	Monster (Effect)	EARTH	Beast	4	1800	400	59784896	If this is the only Monster Card in your control during your Standby Phase, it is changed to Defense Position. You cannot change the position of this card during the same turn.
0447	Dark-Eyes Illusionist	Monster (Effect)	DARK	Spellcaster	2	0	1400	38247752	FLIP: Target 1 monster on the field; it cannot attack while this card is face-up on the field.
0448	Dark-Piercing Light	Spell Card		Normal				45895206	Flip all face-down monsters on your opponent's side of the field face-up.
0449	Darkbishop Archfiend	Monster (Effect)	WATER	Fiend	3	300	1400	35798491	The controller of this card pays 500 Life Points during each of his/her Standby Phases (this is not optional). When an Archfiend Monster Card on your side of the field is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 1, 3, or 6, negate the effect and destroy the opponent's card.
0450	Darkfire Dragon	Monster (Fusion)	DARK	Dragon	4	1500	1250	17881964	"Firegrass" + "Petit Dragon"
0451	Darkfire Soldier #1	Monster (Normal)	FIRE	Pyro	4	1700	1150	5388481	An explosive expert from a special elite force.
0452	Darkfire Soldier #2	Monster (Normal)	FIRE	Pyro	4	1700	1100	78861134	A warrior who gained immeasurable power from the heart of a volcano.
0453	Darklord Marie	Monster (Effect)	DARK	Fiend	5	1700	1200	57579381	Once per turn, during your Standby Phase: You gain 200 LP. This card must be in the Graveyard to activate and to resolve this effect.
0454	Darkness Approaches	Spell Card		Normal				80168720	Discard 2 cards from your hand. Select 1 face-up monster and change it to face-down Defense Position.
0455	Darkworld Thorns	Monster (Normal)	EARTH	Plant	3	1200	900	43500484	A thorny plant found in the darklands that wraps itself around any unwary traveler.
0456	De-Fusion	Spell Card		Quick-Play				95286165	Target 1 Fusion Monster on the field; return that target to the Extra Deck, then, if all the Fusion Materials that were used for its Fusion Summon are in your GY, you can Special Summon all of them.
0457	De-Spell	Spell Card		Normal				19159413	Target 1 face-up Spell, or 1 Set Spell/Trap, on the field; destroy that target if it is a Spell. (If the target is Set, reveal it.)
0458	Deal of Phantom	Trap Card		Normal				69122763	Select 1 face-up monster on the field. Increase the selected monster's ATK by 100 points for each monster in your Graveyard during the turn this card is activated. The number of monsters is applied when this card is activated.
0459	Decayed Commander	Monster (Effect)	EARTH	Zombie	4	1000	1500	10209545	When this card is Normal Summoned: You can Special Summon 1 "Zombie Tiger" from your hand. If this card inflicts battle damage to your opponent by a direct attack: Discard 1 random card from their hand.
0460	Deck Devastation Virus	Trap Card		Normal				35027493	Tribute 1 DARK monster with 2000 or more ATK; look at your opponent's hand, all monsters they control, and all cards they draw until the end of their 3rd turn after this card's activation, and destroy all those monsters with 1500 or less ATK.
0461	Dedication through Light and Darkness	Spell Card		Quick-Play				69542930	Tribute 1 "Dark Magician"; Special Summon 1 "Dark Magician of Chaos" from your hand, Deck, or Graveyard.
0462	Deepsea Shark	Monster (Fusion)	WATER	Fish	5	1900	1600	28593363	"Bottom Dweller" + "Tongyo"
0463	Deepsea Warrior	Monster (Effect)	WATER	Warrior	5	1600	1800	24128274	As long as "Umi" is face-up on the field, this card is unaffected by any Spell Cards.
0464	Dekoichi the Battlechanted Locomotive	Monster (Effect)	DARK	Machine	4	1400	1000	87621407	FLIP: Draw 1 card, then draw 1 additional card for each face-up "Bokoichi the Freightening Car" you control.
0465	Delinquent Duo	Spell Card		Normal				44763025	Pay 1000 LP; your opponent discards 1 random card, and if they have any other cards in their hand, discard 1 more card of their choice.
0466	Delta Attacker	Spell Card		Normal				39719977	You can only activate this card while there are 3 Normal Monsters of the same name (except Tokens) on your side of the field. The 3 Normal Monsters of the same name can attack your opponent's Life Points directly during the turn this card is activated.
0467	Demotion	Spell Card		Equip				72575145	Downgrade the monster equipped with this card by 2 Levels.
0468	Des Counterblow	Trap Card		Continuous				39131963	Destroy any monster that inflicts Battle Damage to a player's Life Points by attacking directly.
0469	Des Croaking	Spell Card		Normal				44883830	Activate only while you control 3 face-up "Des Frogs". Destroy all cards your opponent controls.
0470	Des Dendle	Monster (Effect)	EARTH	Plant	4	300	2000	12965761	Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to your "Vampiric Orchis" as an Equip Spell Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, each time the equipped monster destroys 1 of your opponent's monsters, Special Summon 1 "Wicked Plant Token" (Plant-Type/EARTH/Level 1/ATK 800/DEF 800). (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed as a result of battle, destroy this card instead.)
0471	Des Feral Imp	Monster (Effect)	DARK	Reptile	4	1600	1800	81985784	FLIP: Target 1 card in your Graveyard; shuffle that target into the Deck.
0472	Des Frog	Monster (Effect)	WATER	Aqua	5	1900	0	84451804	When this card is Tribute Summoned, you can Special Summon "Des Frog"(s) from your hand or Deck up to the number of "T.A.D.P.O.L.E."(s) in your Graveyard.
0473	Des Kangaroo	Monster (Effect)	DARK	Beast	4	1500	1700	78613627	If the ATK of a monster that attacks this monster in Defense Position is lower than the DEF of this card, destroy the attacking monster. (Damage calculation is applied normally.)
0474	Des Koala	Monster (Effect)	DARK	Beast	3	1100	1800	69579761	FLIP: Inflict 400 damage to your opponent for each card in their hand.
0475	Des Lacooda	Monster (Effect)	EARTH	Zombie	3	500	600	2326738	Once per turn: You can change this card to face-down Defense Position. When this card is Flip Summoned: Draw 1 card.
0476	Des Volstgalph	Monster (Effect)	EARTH	Dragon	6	2200	1700	81059524	If this card destroys an opponent's monster by battle and sends it to the Graveyard: Inflict 500 damage to your opponent. Each time a Normal or Quick-Play Spell Card resolves, this card gains 200 ATK until the end of this turn.
0477	Des Wombat	Monster (Effect)	EARTH	Beast	3	1600	300	9637706	Any damage to you from a card effect becomes 0.
0478	Desert Sunlight	Trap Card		Normal				93747864	All monsters on your side of the field are changed to face-up Defense Position.
0479	Desertapir	Monster (Effect)	EARTH	Beast	3	900	300	13409151	FLIP: Flip 1 face-up monster on the field into face-down Defense Position. You cannot select "Desertapir".
0480	Despair from the Dark	Monster (Effect)	DARK	Zombie	8	2800	3000	71200730	If this card is sent from your hand or Deck to your GY by an opponent's card effect: Special Summon this card.
0481	Desrook Archfiend	Monster (Effect)	LIGHT	Fiend	3	1100	1800	72192100	The controller of this card pays 500 Life Points during each of his/her Standby Phases (this is not optional). When this card is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 3, negate the effect and destroy the opponent's card. When a "Terrorking Archfiend" on your side of the field is destroyed and sent to the Graveyard, you can send this card from your hand to the Graveyard to Special Summon the "Terrorking Archfiend".
0482	Destiny Board	Trap Card		Continuous				94212438	When this card and all 4 "Spirit Message" cards with different names are placed on your field, you win the Duel. Once per turn, during your opponent's End Phase: Place 1 "Spirit Message" card from your hand or Deck in your Spell & Trap Zone face-up, in the proper order of "I", "N", "A", and "L". When any "Spirit Message" card or "Destiny Board" you control leaves the field, send all "Spirit Message" cards and "Destiny Board" you control to the Graveyard.
0483	Destroyer Golem	Monster (Normal)	EARTH	Rock	4	1500	1000	73481154	A golem with a massive right hand for crushing its victims.
0484	Destruction Punch	Trap Card		Normal				5616412	If the ATK of an attacking monster your opponent controls is lower than the DEF of the attacked Defense Position monster you control, destroy the attacking monster at the end of the Damage Step. (Damage calculation is applied normally.)
0485	Destruction Ring	Trap Card		Normal				21219755	Destroy 1 face-up monster on your side of the field to inflict 1000 points of damage to both players' Life Points.
0486	Dharma Cannon	Monster (Normal)	DARK	Machine	2	900	500	96967123	A monstrous creature whose body is lined with cannons that never miss their targets.
0487	Dian Keto the Cure Master	Spell Card		Normal				84257640	Increase your Life Points by 1000 points.
0488	Dice Armadillo	Monster (Normal)	EARTH	Machine	5	1650	1800	69893315	''An armadillo monster that rolls up to form a dice-like shape.''
0489	Dice Jar	Monster (Effect)	LIGHT	Rock	3	200	300	3549275	FLIP: Both players roll a six-sided die. The player with the lower result takes damage equal to their opponent's roll x 500. However, if the winner rolled a 6, the loser takes 6000 damage. If the rolls are the same, both players roll again.
0490	Dice Re-Roll	Trap Card		Normal				83241722	One time, during the rest of this turn, if either player(s) rolls a die (or dice), you can have the player(s) re-roll. (You can only gain this effect once per turn.)
0491	Different Dimension Capsule	Spell Card		Normal				11961740	Select 1 card from your Deck and remove it from play face-down. During your 2nd Standby Phase after activation, destroy this card and add the removed card to your hand.
0492	Different Dimension Dragon	Monster (Effect)	LIGHT	Dragon	5	1200	1500	50939127	This card cannot be destroyed by Spell/Trap effects that do not target it. This card cannot be destroyed by battle with a monster that has 1900 or less ATK.
0493	Different Dimension Gate	Spell Card		Continuous				56460688	Activate this card by targeting 1 monster on each side of the field; banish those targets. When this card is destroyed and sent to the Graveyard: Return those banished monsters to the field in the same battle positions they were in.
0494	Diffusion Wave-Motion	Spell Card		Normal				87880531	(This card is not treated as a "Fusion" card.)  If your opponent controls a monster: Pay 1000 LP, then target 1 Level 7 or higher Spellcaster monster you control; this turn, it must attack all monsters your opponent controls once each, also other monsters you control cannot attack. The effects of monsters destroyed by these attacks cannot activate and are negated.
0495	Dig Beak	Monster (Normal)	EARTH	Beast	2	500	800	29948642	This beast coils like a snake, and strikes quickly with its snapping beak.
0496	Dimension Distortion	Spell Card		Normal				95194279	You can only activate this card if there are no cards in your Graveyard. Select 1 removed from play monster and Special Summon it on your side of the field.
0497	Dimension Fusion	Spell Card		Normal				23557835	Pay 2000 Life Points. Both players Special Summon as many of their removed from play monsters as possible.
0498	Dimension Jar	Monster (Effect)	DARK	Machine	2	200	200	73414375	FLIP: Both players can remove from play up to 3 monsters from their opponent's Graveyard.
0499	Dimension Wall	Trap Card		Normal				67095270	Activate only when an opponent's monster declares an attack. Instead of you, your opponent takes the Battle Damage you would have taken from this battle.
0500	Dimensionhole	Spell Card		Normal				22959079	Select 1 monster on your side of the field and remove it from play until your next Standby Phase. While the monster is removed from play, the Monster Card Zone of the selected monster cannot be used.
0501	Disappear	Trap Card		Normal				24623598	Remove from play 1 card from your opponent's Graveyard.
0502	Disarmament	Trap Card		Normal				20727787	Destroy all Equip Cards on the field.
0503	Disc Fighter	Monster (Effect)	EARTH	Warrior	4	1000	1000	19612721	If this card attacks a Defense Position monster with DEF 2000 or more, destroy the monster with this card's effect without applying damage calculation.
0504	Disk Magician	Monster (Normal)	DARK	Machine	4	1350	1000	76446915	This monster hides in a saucer and only appears when executing an attack.
0505	Dissolverock	Monster (Normal)	EARTH	Rock	3	900	1000	40826495	A monster born in the lava pits, it generates intense heat that can melt away its enemies.
0506	Disturbance Strategy	Trap Card		Normal				77561728	Your opponent shuffles their entire hand into the Deck, then draws the same number of cards.
0507	Divine Dragon Ragnarok	Monster (Normal)	LIGHT	Dragon	4	1500	1000	62113340	A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.
0508	Divine Wrath	Trap Card		Counter				49010598	When a monster effect is activated: Discard 1 card; negate the activation, and if you do, destroy that monster.
0509	Djinn the Watcher of the Wind	Monster (Normal)	WIND	Spellcaster	3	700	900	97843505	''This creature generates gale-force winds and tornadoes to blow its enemies away.''
0510	Doitsu	Monster (Effect)	EARTH	Fairy	4	100	200	57062206	Once per turn, you can equip this card to a "Soitsu" you control, OR unequip it to Special Summon this card in face-up Attack Position. When equipped to a monster by this card's effect, that monster gains 2500 ATK. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed by battle, destroy this card instead.)
0511	Dokuroizo the Grim Reaper	Monster (Normal)	DARK	Zombie	3	900	1200	25882881	''A messenger of doom that steals a soul with a single blow.''
0512	Dokurorider	Monster (Ritual)	DARK	Zombie	6	1900	1850	99721536	This monster can only be Ritual Summoned with the Ritual Spell Card, "Revival of Dokurorider". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.
0513	Dokuroyaiba	Monster (Normal)	FIRE	Fiend	3	1000	400	30325729	A boomerang with brains that will pursue a target to the ends of the earth.
0514	Doma The Angel of Silence	Monster (Normal)	DARK	Fairy	5	1600	1400	16972957	This fairy rules over the end of existence.
0515	Don Turtle	Monster (Effect)	WATER	Reptile	3	1100	1200	3493978	When this card is Normal Summoned or Flip Summoned, you can Special Summon any number of "Don Turtle"(s) from your hand.
0516	Don Zaloog	Monster (Effect)	DARK	Warrior	4	1400	1500	76922029	When this card inflicts battle damage to your opponent: You can activate 1 of these effects;  ● Discard 1 random card from their hand.  ● Send the top 2 cards of their Deck to the GY.
0517	Dora of Fate	Trap Card		Normal				67464807	You can only activate this card during your opponent's turn. Select 1 face-up monster on your opponent's side of the field. When you Normal Summon a monster that is 1 Level lower than the selected monster during your next turn, inflict damage to your opponent's Life Points equal to the Level of the selected monster x 500 points.
0518	Doriado	Monster (Normal)	EARTH	Spellcaster	4	1200	1400	84916669	''A spirit of the forest powered by the surrounding trees and wildlife.''
0519	Doriado's Blessing	Spell Card		Ritual				23965037	This card is used to Ritual Summon "Elemental Mistress Doriado". You must also Tribute monsters whose total Levels equal 3 or more from the field or your hand.
0520	Doron	Monster (Normal)	EARTH	Warrior	2	900	500	756652	''This monster splits in two and attacks from opposite sides.''
0521	Dorover	Monster (Normal)	WATER	Aqua	3	900	800	24194033	''This ugly monster emits a highly poisonous gas.''
0522	Double Attack	Spell Card		Normal				34187685	Discard 1 Monster Card from your hand to the Graveyard. Select 1 monster on your side of the field with a lower Level than the discarded monster. The selected monster can attack twice this turn.
0523	Double Coston	Monster (Effect)	DARK	Zombie	4	1700	1650	44436472	This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.
0524	Double Snare	Spell Card		Normal				3682106	Destroy 1 face-up card on the field that has an effect that negates Trap Cards' effects.
0525	Double Spell	Spell Card		Normal				24096228	Discard 1 Spell Card, then target 1 Spell Card in your opponent's Graveyard; place that target in the appropriate Zone on your side of the field, and as this card's effect resolution, follow its card text as if you had used it yourself.
0526	Dragged Down into the Grave	Spell Card		Normal				16435215	Both players reveal their hands, each chooses 1 card from their opponent's hand, then you discard the chosen cards from both players' hands, then both players draw 1 card.
0527	Dragon Capture Jar	Trap Card		Continuous				50045299	Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.
0528	Dragon Manipulator	Monster (Effect)	EARTH	Warrior	3	700	800	63018132	FLIP: Take control of 1 face-up Dragon-Type monster on your opponent's side of the field until the end of the End Phase.
0529	Dragon Master Knight	Monster (Fusion)	LIGHT	Dragon	12	5000	5000	62873545	"Black Luster Soldier" + "Blue-Eyes Ultimate Dragon"  Must be Fusion Summoned. This card gains 500 ATK for each Dragon monster you control, except this card.
0530	Dragon Piper	Monster (Effect)	FIRE	Pyro	3	200	1800	55763552	FLIP: Destroy all face-up "Dragon Capture Jar"(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position.
0531	Dragon Seeker	Monster (Effect)	DARK	Fiend	6	2000	2100	28563545	When this card is Normal Summoned or Flip Summoned, destroy 1 face-up Dragon-Type monster on the field.
0532	Dragon Statue	Monster (Normal)	EARTH	Warrior	3	1100	900	9197735	''A stone warrior with the heart of a dragon.''
0533	Dragon Treasure	Spell Card		Equip				1435851	A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.
0534	Dragon Zombie	Monster (Normal)	DARK	Zombie	3	1600	0	66672569	A dragon revived by sorcery. Its breath is highly corrosive.
0535	Dragon's Gunfire	Spell Card		Normal				55991637	If you control a Dragon monster: Activate 1 of these effects;  ● Inflict 800 damage to your opponent.  ● Target 1 monster with 800 or less DEF; destroy that target.
0536	Dragon's Mirror	Spell Card		Normal				71490127	Fusion Summon 1 Dragon Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your field or GY.
0537	Dragon's Rage	Trap Card		Continuous				54178050	Dragon-Type monsters you control inflict piercing Battle Damage when they attack a Defense Position monster.
0538	Dragoness the Wicked Knight	Monster (Fusion)	WIND	Warrior	3	1200	900	70681994	"Armaill" + "One-Eyed Shield Dragon"
0539	Dragonic Attack	Spell Card		Equip				32437102	This card can only be used to equip Warrior-Type monsters. The equipped monster is treated as Dragon-Type and increases the ATK and DEF of the equipped monster by 500 points.
0540	Draining Shield	Trap Card		Normal				43250041	When an opponent's monster declares an attack: Target the attacking monster; negate that attack, and if you do, gain LP equal to that target's ATK.
0541	Dramatic Rescue	Trap Card		Normal				80193355	Activate only when a card is activated that targets an "Amazoness" monster. Return the targeted monster to its owner's hand and Special Summon 1 other monster from your hand.
0542	Dream Clown	Monster (Effect)	EARTH	Warrior	3	1200	900	13215230	When this card is changed from Attack Position to face-up Defense Position, select 1 monster your opponent controls and destroy it.
0543	Dreamsprite	Monster (Effect)	LIGHT	Plant	2	300	200	8687195	When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as the attack's target, then calculate damage.
0544	Drill Bug	Monster (Effect)	EARTH	Insect	2	1100	200	88733579	When this card inflicts Battle Damage to your opponent's Life Points, you can select 1 "Parasite Paracide" card from your Deck, shuffle the Deck, and place "Parasite Paracide" on top of the Deck.
0545	Drillago	Monster (Effect)	DARK	Machine	4	1600	1100	99050989	If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can attack your opponent directly.
0546	Drillroid	Monster (Effect)	EARTH	Machine	4	1600	1600	71218746	Before damage calculation, if this card attacks a Defense Position monster: Destroy that monster.
0547	Driving Snow	Trap Card		Normal				473469	You can only activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Spell or Trap Card on the field.
0548	Droll Bird	Monster (Normal)	WIND	Winged Beast	2	600	500	97973387	This monster stuns its enemies with a massive beak and ear-piercing wails.
0549	Drooling Lizard	Monster (Normal)	EARTH	Reptile	3	900	800	16353197	A blood-sucking snake in human form that attacks any living being that passes nearby.
0550	Drop Off	Trap Card		Normal				55773067	When your opponent draws for their normal draw in their Draw Phase: Your opponent discards 1 card they just drew.
0551	Dummy Golem	Monster (Effect)	EARTH	Rock	2	800	800	13532663	FLIP: Your opponent selects 1 monster they control. Switch control of the selected monster and this card.
0552	Dunames Dark Witch	Monster (Normal)	LIGHT	Fairy	4	1800	1050	12493482	Even when all odds are against this brave fairy, she will press onwards in battle and never retreat.
0553	Dungeon Worm	Monster (Normal)	EARTH	Insect	5	1800	1500	51228280	Hidden under the floors of a labyrinth, it swallows any who pass above.
0554	Dust Barrier	Spell Card		Continuous				31476755	Face-up Normal Monsters on the field are unaffected by your opponent's Spell Cards. This card is destroyed during your second Standby Phase after activation.
0555	Dust Tornado	Trap Card		Normal				60082869	Target 1 Spell/Trap your opponent controls; destroy that target, then you can Set 1 Spell/Trap from your hand.
0556	Eagle Eye	Monster (Effect)	WIND	Winged Beast	3	1300	1200	53693416	When this card is Normal Summoned successfully, no Trap Cards can be activated.
0557	Earth Chant	Spell Card		Ritual				59820352	This card can be used to Ritual Summon any EARTH Ritual Monster. You must also Tribute monsters from your hand or field whose total Levels exactly equal the Level of the Ritual Monster you Ritual Summon.
0558	Earthbound Spirit	Monster (Normal)	EARTH	Fiend	4	500	2000	67105242	A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.
0559	Earthquake	Spell Card		Normal				82828051	Change all face-up monsters on the field to Defense Position.
0560	Earthshaker	Trap Card		Normal				60866277	Select 2 Monster Card Attributes. Your opponent then selects 1 of the 2 Attributes and destroys all face-up monsters with that Attribute on the field.
0561	Eatgaboon	Trap Card		Normal				42578427	If the ATK of a monster summoned by your opponent (excluding Special Summon) is 500 points or less, the monster is destroyed.
0562	Ebon Magician Curran	Monster (Effect)	DARK	Spellcaster	2	1200	0	46128076	During your Standby Phase, inflict 300 damage to your opponent for each monster they control.
0563	Ectoplasmer	Spell Card		Continuous				97342942	Once per turn, during each player's End Phase: The turn player must Tribute 1 face-up monster, and if they do, inflict damage to their opponent equal to half the original ATK of the Tributed monster.
0564	Ekibyo Drakmord	Spell Card		Equip				69954399	The equipped monster cannot attack. Destroy the equipped monster at the end of its controller's 2nd turn after this card is activated. At that time, this card is returned to the owner's hand.
0565	Eldeen	Monster (Normal)	LIGHT	Spellcaster	3	950	1000	6367785	''The cane of this monster is the source of many powerful spells.''
0566	Electric Lizard	Monster (Effect)	EARTH	Thunder	3	850	800	55875323	A non Zombie-Type monster attacking "Electric Lizard" cannot attack on its following turn.
0567	Electric Snake	Monster (Effect)	LIGHT	Thunder	3	800	900	11324436	When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.
0568	Electro-Whip	Spell Card		Equip				37820550	Increase the ATK and DEF of a Thunder-Type monster equipped with this card by 300 points.
0569	Electromagnetic Bagworm	Monster (Effect)	LIGHT	Insect	3	200	1400	7914843	FLIP: Target 1 Machine-Type monster your opponent controls; take control of that target until your next End Phase. If this card is destroyed by battle: The monster that destroyed it loses 500 ATK and DEF.
0570	Elegant Egotist	Spell Card		Normal				90219263	If "Harpie Lady" is on the field: Special Summon 1 "Harpie Lady" or "Harpie Lady Sisters" from your hand or Deck.
0571	Element Doom	Monster (Effect)	DARK	Fiend	4	1500	1200	23118924	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: ● EARTH: Negate the effect of an Effect Monster that this card destroyed by battle. ● WIND: If this card destroyed your opponent's monster by battle, it can attack once again in a row.
0572	Element Dragon	Monster (Effect)	LIGHT	Dragon	4	1500	1200	30314994	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: ● FIRE: This card gains 500 ATK. ● WIND: If this card destroyed your opponent's monster by battle, it can attack once again in a row.
0573	Element Magician	Monster (Effect)	LIGHT	Spellcaster	4	1500	1200	65260293	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: ● WATER: Control of this card cannot switch. ● WIND: If this card destroyed your opponent's monster by battle, it can attack once again in a row.
0574	Element Saurus	Monster (Effect)	DARK	Dinosaur	4	1500	1200	92755808	Gains the following effect(s) while there is a monster(s) with the following Attribute(s) on the field.  ● FIRE: This card gains 500 ATK.  ● EARTH: Negate the effects of Effect Monsters destroyed by battle with this card.
0575	Element Soldier	Monster (Effect)	DARK	Fiend	4	1500	1200	66712593	This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field: ● WATER: Control of this card cannot switch. ● EARTH: Negate the effect of an Effect Monster that this card destroyed by battle.
0576	Element Valkyrie	Monster (Effect)	LIGHT	Fairy	4	1500	1200	97623219	(This card is not treated as a "Valkyrie" card.)  This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field:  ● FIRE: This card gains 500 ATK.  ● WATER: Control of this card cannot switch.
0577	Elemental Burst	Trap Card		Normal				61411502	Tribute 1 each of WIND, WATER, FIRE, and EARTH monsters to activate this card. Destroy all cards on your opponent's side of the field.
0578	Elemental HERO Avian	Monster (Normal)	WIND	Warrior	3	1000	1000	21844576	A winged Elemental HERO who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high.
0579	Elemental HERO Bubbleman	Monster (Effect)	WATER	Warrior	4	800	1200	79979666	If this is the only card in your hand, you can Special Summon it (from your hand). When this card is Summoned: You can draw 2 cards. You must control no other cards and have no cards in your hand to activate and to resolve this effect.
0580	Elemental HERO Burstinatrix	Monster (Normal)	FIRE	Warrior	3	1200	800	58932615	A flame manipulator who was the first Elemental HERO woman. Her Burstfire burns away villainy.
0581	Elemental HERO Clayman	Monster (Normal)	EARTH	Warrior	4	800	2000	84327329	An Elemental HERO with a clay body built-to-last. He'll preserve his Elemental HERO colleagues at any cost.
0582	Elemental HERO Flame Wingman	Monster (Fusion)	WIND	Warrior	6	2100	1200	35809262	"Elemental HERO Avian" + "Elemental HERO Burstinatrix" Must be Fusion Summoned and cannot be Special Summoned by other ways. When this card destroys a monster by battle and sends it to the Graveyard: Inflict damage to your opponent equal to the ATK of the destroyed monster in the Graveyard.
0583	Elemental HERO Sparkman	Monster (Normal)	LIGHT	Warrior	4	1600	1400	20721928	''An Elemental HERO and a warrior of light who proficiently wields many kinds of armaments. His Static Shockwave cuts off the path of villainy.''
0584	Elemental HERO Thunder Giant	Monster (Fusion)	LIGHT	Warrior	6	2400	1500	61204971	"Elemental HERO Sparkman" + "Elemental HERO Clayman" Must be Fusion Summoned and cannot be Special Summoned by other ways. Once per turn: You can discard 1 card to target 1 face-up monster on the field with original ATK less than the ATK of this card; destroy that target.
0585	Elemental Mistress Doriado	Monster (Ritual)	LIGHT	Spellcaster	3	1200	1400	99414168	This card can only be Ritual Summoned with the Ritual Spell Card, "Doriado's Blessing". The Attribute of this card is also treated as WIND, WATER, FIRE, and EARTH while it is face-up on the field.
0586	Elephant Statue of Blessing	Monster (Effect)	EARTH	Rock	3	1500	0	85166216	When this card is sent from your hand to your Graveyard by an opponent's card effect: You gain 2000 Life Points.
0587	Elephant Statue of Disaster	Monster (Effect)	EARTH	Rock	3	1500	0	12160911	When this card is sent from your hand to your Graveyard by an opponent's card effect: Inflict 2000 damage to your opponent.
0588	Elf's Light	Spell Card		Equip				39897277	A LIGHT monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.
0589	Emblem of Dragon Destroyer	Spell Card		Normal				6390406	Add 1 "Buster Blader" from your Deck or Graveyard to your hand.
0590	Embodiment of Apophis	Trap Card		Continuous				28649820	During either player's Main Phase: Special Summon this card as a Normal Monster (Reptile-Type/EARTH/Level 4/ATK 1600/DEF 1800). (This card is also still a Trap Card.)
0591	Embryonic Beast	Monster (Normal)	DARK	Fiend	2	500	750	64154377	''An imperfect monster with a belly vortex that sucks in opponents of any size.''
0592	Emergency Provisions	Spell Card		Quick-Play				53046408	Send any number of other Spell/Trap Cards you control to the Graveyard; gain 1000 LP for each card sent to the Graveyard this way.
0593	Emes the Infinity	Monster (Effect)	LIGHT	Machine	7	2500	2000	43580269	Each time this card destroys an opponent's monster and sends it to the Graveyard as a result of battle, increase the ATK of this card by 700 points.
0594	Emissary of the Afterlife	Monster (Effect)	DARK	Fiend	4	1600	600	75043725	When this card is sent from the field to the Graveyard: Each player adds 1 Level 3 or lower Normal Monster from their Deck to their hand.
0595	Emissary of the Oasis	Monster (Effect)	LIGHT	Spellcaster	3	600	400	6103294	While a face-up Level 3 or lower Normal Monster is on your side of the field, your opponent cannot select this card as an attack target. While this card is face-up on your side of the field, any Battle Damage to the controller of this card from battle involving a Level 3 or lower Normal Monster becomes 0.
0596	Emperor of the Land and Sea	Monster (Normal)	WATER	Reptile	5	1800	1500	11250655	''A reptilian monster that sprays fire in every direction.''
