ID,Name,Type,ATK,DEF,Description,Suggested_Pool,Final_Pool
0495,Dig Beak,Monster (Normal),500,800,"This beast coils like a snake, and strikes quickly with its snapping beak.",1.3,
0496,Dimension Distortion,Spell,,,You can only activate this card if there are no cards in your Graveyard. Select 1 removed from play ,2.3,
0497,Dimension Fusion,Spell,,,Pay 2000 Life Points. Both players Special Summon as many of their removed from play monsters as pos,2.3,
0498,Dimension Jar,Monster (Effect),200,200,FLIP: Both players can remove from play up to 3 monsters from their opponent's Graveyard.,1.2,
0499,Dimension Wall,Trap,,,"Activate only when an opponent's monster declares an attack. Instead of you, your opponent takes the",2.3,
0500,Dimensionhole,Spell,,,Select 1 monster on your side of the field and remove it from play until your next Standby Phase. Wh,2.3,
0501,Disappear,Trap,,,Remove from play 1 card from your opponent's Graveyard.,2.3,
0502,Disarmament,Trap,,,Destroy all Equip Cards on the field.,4.5,
0503,Disc Fighter,Monster (Effect),1000,1000,"If this card attacks a Defense Position monster with DEF 2000 or more, destroy the monster with this",2.1,
0504,Disk Magician,Monster (Normal),1350,1000,This monster hides in a saucer and only appears when executing an attack.,2.1,
0505,Dissolverock,Monster (Normal),900,1000,"A monster born in the lava pits, it generates intense heat that can melt away its enemies.",1.5,
0506,Disturbance Strategy,Trap,,,"Your opponent shuffles their entire hand into the Deck, then draws the same number of cards.",2.3,
0507,Divine Dragon Ragnarok,Monster (Normal),1500,1000,"A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole wor",2.3,
0508,Divine Wrath,Trap,,,"When a monster effect is activated: Discard 1 card; negate the activation, and if you do, destroy th",4.5,
0509,Djinn the Watcher of the Wind,Monster (Normal),700,900,''This creature generates gale-force winds and tornadoes to blow its enemies away.'',1.3,
0510,Doitsu,Monster (Effect),100,200,"Once per turn, you can equip this card to a ""Soitsu"" you control, OR unequip it to Special Summon th",1.2,
0511,Dokuroizo the Grim Reaper,Monster (Normal),900,1200,''A messenger of doom that steals a soul with a single blow.'',1.5,
0512,Dokurorider,Monster (Ritual),1900,1850,"This monster can only be Ritual Summoned with the Ritual Spell Card, ""Revival of Dokurorider"". You m",3.3,
0513,Dokuroyaiba,Monster (Normal),1000,400,A boomerang with brains that will pursue a target to the ends of the earth.,1.5,
0514,Doma The Angel of Silence,Monster (Normal),1600,1400,This fairy rules over the end of existence.,1.5,
0515,Don Turtle,Monster (Effect),1100,1200,"When this card is Normal Summoned or Flip Summoned, you can Special Summon any number of ""Don Turtle",2.1,
0516,Don Zaloog,Monster (Effect),1400,1500,When this card inflicts battle damage to your opponent: You can activate 1 of these effects;  ● Disc,2.4,
0517,Dora of Fate,Trap,,,You can only activate this card during your opponent's turn. Select 1 face-up monster on your oppone,1.4,
0518,Doriado,Monster (Normal),1200,1400,''A spirit of the forest powered by the surrounding trees and wildlife.'',2.1,
0519,Doriado's Blessing,Spell,,,"This card is used to Ritual Summon ""Elemental Mistress Doriado"". You must also Tribute monsters whos",2.3,
0520,Doron,Monster (Normal),900,500,''This monster splits in two and attacks from opposite sides.'',1.5,
0521,Dorover,Monster (Normal),900,800,''This ugly monster emits a highly poisonous gas.'',1.5,
0522,Double Attack,Spell,,,Discard 1 Monster Card from your hand to the Graveyard. Select 1 monster on your side of the field w,2.3,
0523,Double Coston,Monster (Effect),1700,1650,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,3.1,
0524,Double Snare,Spell,,,Destroy 1 face-up card on the field that has an effect that negates Trap Cards' effects.,4.5,
0525,Double Spell,Spell,,,"Discard 1 Spell Card, then target 1 Spell Card in your opponent's Graveyard; place that target in th",2.3,
0526,Dragged Down into the Grave,Spell,,,"Both players reveal their hands, each chooses 1 card from their opponent's hand, then you discard th",2.3,
0527,Dragon Capture Jar,Trap,,,"Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change th",1.4,
0528,Dragon Manipulator,Monster (Effect),700,800,FLIP: Take control of 1 face-up Dragon-Type monster on your opponent's side of the field until the e,1.4,
0529,Dragon Master Knight,Monster (Fusion),5000,5000,"""Black Luster Soldier"" + ""Blue-Eyes Ultimate Dragon""  Must be Fusion Summoned. This card gains 500 A",5.1,
0530,Dragon Piper,Monster (Effect),200,1800,"FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-",1.2,
0531,Dragon Seeker,Monster (Effect),2000,2100,"When this card is Normal Summoned or Flip Summoned, destroy 1 face-up Dragon-Type monster on the fie",3.4,
0532,Dragon Statue,Monster (Normal),1100,900,''A stone warrior with the heart of a dragon.'',1.5,
0533,Dragon Treasure,Spell,,,A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.,1.4,
0534,Dragon Zombie,Monster (Normal),1600,0,A dragon revived by sorcery. Its breath is highly corrosive.,2.5,
0535,Dragon's Gunfire,Spell,,,If you control a Dragon monster: Activate 1 of these effects;  ● Inflict 800 damage to your opponent,4.5,
0536,Dragon's Mirror,Spell,,,"Fusion Summon 1 Dragon Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on ",2.3,
0537,Dragon's Rage,Trap,,,Dragon-Type monsters you control inflict piercing Battle Damage when they attack a Defense Position ,4.5,
0538,Dragoness the Wicked Knight,Monster (Fusion),1200,900,"""Armaill"" + ""One-Eyed Shield Dragon""",3.1,
0539,Dragonic Attack,Spell,,,This card can only be used to equip Warrior-Type monsters. The equipped monster is treated as Dragon,1.4,
0540,Draining Shield,Trap,,,"When an opponent's monster declares an attack: Target the attacking monster; negate that attack, and",4.5,
0541,Dramatic Rescue,Trap,,,"Activate only when a card is activated that targets an ""Amazoness"" monster. Return the targeted mons",2.3,
0542,Dream Clown,Monster (Effect),1200,900,"When this card is changed from Attack Position to face-up Defense Position, select 1 monster your op",2.2,
0543,Dreamsprite,Monster (Effect),300,200,"When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as",1.2,
0544,Drill Bug,Monster (Effect),1100,200,"When this card inflicts Battle Damage to your opponent's Life Points, you can select 1 ""Parasite Par",2.1,
0545,Drillago,Monster (Effect),1600,1100,"If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can a",3.1,
0546,Drillroid,Monster (Effect),1600,1600,"Before damage calculation, if this card attacks a Defense Position monster: Destroy that monster.",3.1,
0547,Driving Snow,Trap,,,You can only activate this card when 1 or more of your Trap Cards are destroyed and sent from the fi,4.5,
0548,Droll Bird,Monster (Normal),600,500,This monster stuns its enemies with a massive beak and ear-piercing wails.,1.3,
0549,Drooling Lizard,Monster (Normal),900,800,A blood-sucking snake in human form that attacks any living being that passes nearby.,1.5,
0550,Drop Off,Trap,,,When your opponent draws for their normal draw in their Draw Phase: Your opponent discards 1 card th,2.3,
0551,Dummy Golem,Monster (Effect),800,800,FLIP: Your opponent selects 1 monster they control. Switch control of the selected monster and this ,2.1,
0552,Dunames Dark Witch,Monster (Normal),1800,1050,"Even when all odds are against this brave fairy, she will press onwards in battle and never retreat.",3.1,
0553,Dungeon Worm,Monster (Normal),1800,1500,"Hidden under the floors of a labyrinth, it swallows any who pass above.",3.1,
0554,Dust Barrier,Spell,,,Face-up Normal Monsters on the field are unaffected by your opponent's Spell Cards. This card is des,2.3,
0555,Dust Tornado,Trap,,,"Target 1 Spell/Trap your opponent controls; destroy that target, then you can Set 1 Spell/Trap from ",4.5,
0556,Eagle Eye,Monster (Effect),1300,1200,"When this card is Normal Summoned successfully, no Trap Cards can be activated.",2.2,
0557,Earth Chant,Spell,,,This card can be used to Ritual Summon any EARTH Ritual Monster. You must also Tribute monsters from,2.3,
0558,Earthbound Spirit,Monster (Normal),500,2000,"A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into",1.3,
0559,Earthquake,Spell,,,Change all face-up monsters on the field to Defense Position.,1.4,
0560,Earthshaker,Trap,,,Select 2 Monster Card Attributes. Your opponent then selects 1 of the 2 Attributes and destroys all ,2.3,
0561,Eatgaboon,Trap,,,"If the ATK of a monster summoned by your opponent (excluding Special Summon) is 500 points or less, ",1.4,
0562,Ebon Magician Curran,Monster (Effect),1200,0,"During your Standby Phase, inflict 300 damage to your opponent for each monster they control.",2.2,
0563,Ectoplasmer,Spell,,,"Once per turn, during each player's End Phase: The turn player must Tribute 1 face-up monster, and i",2.3,
0564,Ekibyo Drakmord,Spell,,,The equipped monster cannot attack. Destroy the equipped monster at the end of its controller's 2nd ,4.5,
0565,Eldeen,Monster (Normal),950,1000,''The cane of this monster is the source of many powerful spells.'',1.5,
0566,Electric Lizard,Monster (Effect),850,800,"A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn.",2.1,
0567,Electric Snake,Monster (Effect),800,900,When this card is discarded from your hand to the Graveyard by an effect of a card controlled by you,2.1,
0568,Electro-Whip,Spell,,,Increase the ATK and DEF of a Thunder-Type monster equipped with this card by 300 points.,1.4,
0569,Electromagnetic Bagworm,Monster (Effect),200,1400,FLIP: Target 1 Machine-Type monster your opponent controls; take control of that target until your n,1.2,
0570,Elegant Egotist,Spell,,,"If ""Harpie Lady"" is on the field: Special Summon 1 ""Harpie Lady"" or ""Harpie Lady Sisters"" from your ",2.3,
0571,Element Doom,Monster (Effect),1500,1200,This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s,2.4,
0572,Element Dragon,Monster (Effect),1500,1200,This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s,2.4,
0573,Element Magician,Monster (Effect),1500,1200,This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s,2.4,
0574,Element Saurus,Monster (Effect),1500,1200,Gains the following effect(s) while there is a monster(s) with the following Attribute(s) on the fie,2.4,
0575,Element Soldier,Monster (Effect),1500,1200,This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s,2.4,
0576,Element Valkyrie,Monster (Effect),1500,1200,"(This card is not treated as a ""Valkyrie"" card.)  This monster gets the following effect(s) while th",2.4,
0577,Elemental Burst,Trap,,,"Tribute 1 each of WIND, WATER, FIRE, and EARTH monsters to activate this card. Destroy all cards on ",4.5,
0578,Elemental HERO Avian,Monster (Normal),1000,1000,"A winged Elemental HERO who wheels through the sky and manipulates the wind. His signature move, Fea",1.5,
0579,Elemental HERO Bubbleman,Monster (Effect),800,1200,"If this is the only card in your hand, you can Special Summon it (from your hand). When this card is",2.1,
0580,Elemental HERO Burstinatrix,Monster (Normal),1200,800,A flame manipulator who was the first Elemental HERO woman. Her Burstfire burns away villainy.,2.1,
0581,Elemental HERO Clayman,Monster (Normal),800,2000,An Elemental HERO with a clay body built-to-last. He'll preserve his Elemental HERO colleagues at an,1.5,
0582,Elemental HERO Flame Wingman,Monster (Fusion),2100,1200,"""Elemental HERO Avian"" + ""Elemental HERO Burstinatrix"" Must be Fusion Summoned and cannot be Special",3.5,
0583,Elemental HERO Sparkman,Monster (Normal),1600,1400,''An Elemental HERO and a warrior of light who proficiently wields many kinds of armaments. His Stat,2.5,
0584,Elemental HERO Thunder Giant,Monster (Fusion),2400,1500,"""Elemental HERO Sparkman"" + ""Elemental HERO Clayman"" Must be Fusion Summoned and cannot be Special S",4.1,
0585,Elemental Mistress Doriado,Monster (Ritual),1200,1400,"This card can only be Ritual Summoned with the Ritual Spell Card, ""Doriado's Blessing"". The Attribut",3.1,
0586,Elephant Statue of Blessing,Monster (Effect),1500,0,When this card is sent from your hand to your Graveyard by an opponent's card effect: You gain 2000 ,2.4,
0587,Elephant Statue of Disaster,Monster (Effect),1500,0,When this card is sent from your hand to your Graveyard by an opponent's card effect: Inflict 2000 d,2.4,
0588,Elf's Light,Spell,,,A LIGHT monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200,1.4,
0589,Emblem of Dragon Destroyer,Spell,,,"Add 1 ""Buster Blader"" from your Deck or Graveyard to your hand.",2.3,
0590,Embodiment of Apophis,Trap,,,During either player's Main Phase: Special Summon this card as a Normal Monster (Reptile-Type/EARTH/,1.4,
0591,Embryonic Beast,Monster (Normal),500,750,''An imperfect monster with a belly vortex that sucks in opponents of any size.'',1.3,
0592,Emergency Provisions,Spell,,,Send any number of other Spell/Trap Cards you control to the Graveyard; gain 1000 LP for each card s,4.5,
0593,Emes the Infinity,Monster (Effect),2500,2000,Each time this card destroys an opponent's monster and sends it to the Graveyard as a result of batt,4.2,
0594,Emissary of the Afterlife,Monster (Effect),1600,600,When this card is sent from the field to the Graveyard: Each player adds 1 Level 3 or lower Normal M,3.1,
0595,Emissary of the Oasis,Monster (Effect),600,400,"While a face-up Level 3 or lower Normal Monster is on your side of the field, your opponent cannot s",1.4,
0596,Emperor of the Land and Sea,Monster (Normal),1800,1500,''A reptilian monster that sprays fire in every direction.'',3.1,
0597,Empress Judge,Monster (Fusion),2100,1700,"""Queen's Double"" + ""Hibikime""",3.5,
0598,Empress Mantis,Monster (Normal),2200,1400,Queen of an army of giant mantises whose command moves legions.,3.5,
0599,Enchanted Javelin,Trap,,,Select 1 attacking monster. Gain Life Points equal to its ATK.,2.3,
0600,Enchanting Fitting Room,Spell,,,Pay 800 LP; excavate the top 4 cards of your Deck and Special Summon all excavated Level 3 or lower ,2.3,
0601,Enchanting Mermaid,Monster (Normal),1200,900,A beautiful mermaid that lures voyagers to a watery grave.,2.1,
0602,Enemy Controller,Spell,,,Activate 1 of these effects. ● Target 1 face-up monster your opponent controls; change that target's,4.5,
0603,Energy Drain,Trap,,,Target 1 face-up monster you control; it gains 200 ATK/DEF for each card your opponent currently has,4.5,
0604,Enervating Mist,Trap,,,Your opponent's hand size limit becomes 5.,2.3,
0605,Enraged Battle Ox,Monster (Effect),1700,1000,"If a Beast, Beast-Warrior, or Winged Beast-Type monster you control attacks a Defense Position monst",3.1,
0606,Enraged Muka Muka,Monster (Effect),1200,600,This card gains 400 ATK and DEF for each card in your hand.,1.2,
0607,Eradicating Aerosol,Spell,,,Destroy all Insect monsters on the field.,4.5,
0608,Eria the Water Charmer,Monster (Effect),500,1500,FLIP: Target 1 face-up WATER monster your opponent controls; take control of that target while this ,1.4,
0609,Eternal Drought,Spell,,,Destroy all face-up Fish-Type monsters on the field.,4.5,
0610,Eternal Rest,Spell,,,Destroy all monsters equipped with Equip Cards.,4.5,
0611,Exarion Universe,Monster (Effect),1800,1900,"During your Battle Step, if this card attacks a Defense Position monster: You can make this card los",3.2,
0612,Exchange,Spell,,,Both players reveal their hands and add 1 card from each other's hand to their hand.,2.3,
0613,Exchange of the Spirit,Trap,,,If both players have 15 or more cards in their Graveyards: Pay 1000 LP; each player swaps the cards ,2.3,
0614,Exhausting Spell,Trap,,,Remove all Spell Counters on both sides of the field.,2.3,
0615,Exile of the Wicked,Spell,,,Destroy all Fiend monsters on the field.,4.5,
0616,Exiled Force,Monster (Effect),1000,1000,You can Tribute this card to target 1 monster on the field; destroy that target.,2.1,
0617,Exodia Necross,Monster (Effect),1800,0,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""Contract with Exodia"", and cannot be S",3.2,
0618,Exodia the Forbidden One,Monster (Effect),1000,1000,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the For",4.1,
0619,Eyearmor,Monster (Normal),600,500,''This warrior transforms into various creatures to confuse enemies in battle.'',1.3,
0620,Fairy Box,Trap,,,"When your opponent's monster declares an attack: Toss a coin and call it. If you call it right, the ",2.3,
0621,Fairy Dragon,Monster (Normal),1100,1200,This beautiful Dragon spirit harbors hidden strength.,1.5,
0622,Fairy Guardian,Monster (Effect),1000,1000,Tribute this face-up card to return 1 Spell Card sent to your Graveyard by your opponent's card effe,2.1,
0623,Fairy King Truesdale,Monster (Effect),2200,1500,"While this card is in Defense Position, all Plant-Type monsters you control gain 500 ATK and DEF.",4.1,
0624,Fairy Meteor Crush,Spell,,,"If the equipped monster attacks a Defense Position monster, inflict piercing battle damage to your o",1.4,
0625,Fairy of the Fountain,Monster (Normal),1600,1100,''This fairy protects a fountain from any who seek to muddy its waters.'',2.5,
0626,Fairy of the Spring,Spell,,,Target 1 Equip Spell Card in your Graveyard; add that target to your hand. That Equip Spell Card can,2.3,
0627,Fairy's Gift,Monster (Normal),1400,1000,This flying monster is known for delivering happiness to all.,2.3,
0628,Fairy's Hand Mirror,Trap,,,When your opponent activates a Spell Card that targets exactly 1 monster (and no other cards) on the,2.3,
0629,Fairywitch,Monster (Normal),800,1000,"Though destined to be a fairy, this creature chose the way of the witch instead.",1.5,
0630,Faith Bird,Monster (Normal),1500,1100,This long-tailed bird blinds its enemies with mystical light.,2.3,
0631,Fake Trap,Trap,,,"Activate only when your opponent activates a Spell, Trap, or Effect Monster's effect that would dest",4.5,
0632,Falling Down,Spell,,,Activate this card by targeting an opponent's monster; equip this card to it. Take control of it. De,4.5,
0633,Familiar Knight,Monster (Effect),1200,1400,When this card is destroyed by battle and sent to the Graveyard: Each player can Special Summon 1 Le,2.2,
0634,Fatal Abacus,Trap,,,"Each time 1 monster is sent from the field to the Graveyard, inflict 500 points of damage per card t",1.4,
0635,Fear from the Dark,Monster (Effect),1700,1500,When this card is sent from your hand or Deck to your Graveyard by an opponent's card effect: Specia,3.1,
0636,Fengsheng Mirror,Spell,,,Look at your opponent's hand. Select and discard 1 Spirit monster to the Graveyard if Spirit monster,2.3,
0637,Fenrir,Monster (Effect),1400,1200,This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from ,2.4,
0638,Feral Imp,Monster (Normal),1300,1400,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.",2.1,
0639,Fiber Jar,Monster (Effect),500,500,"FLIP: Each player shuffles all cards from their hand, field, and Graveyard into the Deck, then draws",1.4,
0640,Fiend Comedian,Trap,,,"Toss a coin and call it. If you call it right, all your opponent's cards in the Graveyard are remove",2.3,
0641,Fiend Kraken,Monster (Normal),1200,1400,A giant squid that drags its enemies to a watery grave.,2.1,
0642,Fiend Reflection #1,Monster (Normal),1300,1400,This monster can draw its enemies into a mirror world that renders them helpless.,2.1,
0643,Fiend Reflection #2,Monster (Normal),1100,1400,A bird-beast that summons reinforcements with a hand mirror.,1.5,
0644,Fiend Scorpion,Monster (Normal),900,200,"A huge scorpion inhabited by the soul of a fiend. Usually it holds back, but has untapped potential.",1.5,
0645,Fiend Skull Dragon,Monster (Fusion),2000,1200,"""Cave Dragon"" + ""Lesser Fiend""  (This card is always treated as an ""Archfiend"" card.)  A Fusion Summ",3.3,
0646,Fiend Sword,Monster (Normal),1400,800,''Whoever resists the curse of this blade will gain untold power.'',2.3,
0647,Fiend's Hand,Monster (Normal),600,600,''Arms that reach out from the Swamp of Chaos to drag down the unwary.'',1.3,
0648,Fiend's Hand Mirror,Trap,,,Switch the opponent's Spell Card effect that targets 1 Spell or Trap Card to another correct target.,2.3,
0649,Fiend's Mirror,Monster (Ritual),2100,1800,"You can Ritual Summon this card with ""Beastly Mirror Ritual"".",3.5,
0650,Fiend's Sanctuary,Spell,,,"Special Summon 1 ""Metal Fiend Token"" (Fiend/DARK/Level 1/ATK 0/DEF 0). It cannot attack. Your oppone",1.4,
0651,Final Attack Orders,Trap,,,All face-up monsters on the field are changed to Attack Position and their battle positions cannot b,2.3,
0652,Final Countdown,Spell,,,Pay 2000 Life Points. After 20 turns have passed (counting the turn you activate this card as the 1s,2.3,
0653,Final Destiny,Spell,,,Discard 5 cards from your hand. Destroy all cards on the field.,4.5,
0654,Final Flame,Spell,,,Inflict 600 points of damage to your opponent's Life Points.,2.3,
0655,Final Ritual of the Ancients,Spell,,,"This card is used to Ritual Summon ""Reshef the Dark Being"". You must also Tribute monsters whose tot",2.3,
0656,Fire Darts,Trap,,,"Activate only while you have no cards in your hand. Roll a six-sided die 3 times, and inflict damage",2.3,
0657,Fire Eye,Monster (Normal),800,600,''An eye engulfed in flames that flaps its wings to create hot blasts of air.'',1.5,
0658,Fire Kraken,Monster (Normal),1600,1500,A squid that thrives on fire and heat.,2.5,
0659,Fire Princess,Monster (Effect),1300,1500,"Each time you gain Life Points, inflict 500 damage to your opponent.",2.2,
0660,Fire Reaper,Monster (Normal),700,500,A reaper with a flaming arrow that burns an enemy to a crisp.,1.3,
0661,Fire Sorcerer,Monster (Effect),1000,1500,FLIP: Randomly select 2 cards from your hand and remove them from play to inflict 800 points of dama,2.1,
0662,Firebird,Monster (Effect),1000,800,"Each time a Winged Beast-Type monster(s) on your side of the field is destroyed, this card gains 500",2.1,
0663,Firegrass,Monster (Normal),700,600,A fire-breathing plant found growing near volcanoes.,1.3,
0664,Firewing Pegasus,Monster (Normal),2250,1800,A heavenly stallion soaring through the skies on crimson wings.,3.5,
0665,Fireyarou,Monster (Normal),1300,1000,A malevolent creature wrapped in flames that attacks enemies with intense fire.,2.1,
0666,Fissure,Spell,,,"Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied).",4.5,
0667,Five-Headed Dragon,Monster (Fusion),5000,5000,"5 Dragon monsters  Must be Fusion Summoned. Cannot be destroyed by battle with a DARK, EARTH, WATER,",5.1,
0668,Flame Cerebrus,Monster (Normal),2100,1800,"Known to many as the ""Burning Executioner"", this monster is capable of burning enemies to cinders.",3.5,
0669,Flame Champion,Monster (Normal),1900,1300,A warrior protected by a flaming shield that nullifies any attack.,3.3,
0670,Flame Dancer,Monster (Normal),550,450,This monster moves while swinging its burning rope.,1.3,
0671,Flame Ghost,Monster (Fusion),1000,800,"""Skull Servant"" + ""Dissolverock""",3.5,
0672,Flame Manipulator,Monster (Normal),900,1000,"This Spellcaster attacks enemies with fire-related spells such as ""Sea of Flames"" and ""Wall of Fire""",1.5,
0673,Flame Ruler,Monster (Effect),1500,1600,This card can be treated as 2 Tributes for the Tribute Summon of a FIRE monster.,2.4,
0674,Flame Swordsman,Monster (Fusion),1800,1600,"""Flame Manipulator"" + ""Masaki the Legendary Swordsman""",3.1,
0675,Flame Viper,Monster (Normal),400,450,A fire-breathing snake whose speed makes it a difficult target.,1.1,
0676,Flash Assailant,Monster (Effect),2000,2000,Decrease the ATK and DEF of this card by 400 points for each card in your hand.,3.4,
0677,Flint,Spell,,,The equipped monster loses 300 ATK and cannot change its battle position or declare an attack. If th,2.3,
0678,Flower Wolf,Monster (Fusion),1800,1400,"""Silver Fang"" + ""Darkworld Thorns""",3.1,
0679,Flying Fish,Monster (Normal),800,500,Three wishes are granted to those fortunate enough to see this monster in flight.,1.5,
0680,Flying Kamakiri #1,Monster (Effect),1400,900,When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 WIND monst,2.4,
0681,Flying Kamakiri #2,Monster (Normal),1500,800,A flying mantis that feeds primarily on insects.,2.3,
0682,Flying Penguin,Monster (Normal),1200,1000,A very rare penguin that takes to the air with ears shaped like wings.,2.1,
0683,Follow Wind,Spell,,,Increase the ATK and DEF of a Winged Beast-Type monster equipped with this card by 300 points.,1.4,
0684,Foolish Burial,Spell,,,Send 1 monster from your Deck to the GY.,2.3,
0685,Forced Ceasefire,Trap,,,Discard 1 card from your hand. No Trap Cards can be activated until the end of this turn.,2.3,
0686,Forced Requisition,Trap,,,"You can activate this card when you discard from your hand. After that, each time you discard from y",2.3,
0687,Forest,Spell,,,"All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF.",1.4,
0688,Formation Union,Trap,,,Select and activate 1 of the following effects: ● Equip 1 Union Monster on your side of the field to,2.3,
0689,Fortress Whale,Monster (Ritual),2350,2150,"You can Ritual Summon this card with ""Fortress Whale's Oath"".",3.5,
0690,Fortress Whale's Oath,Spell,,,"This card is used to Ritual Summon ""Fortress Whale"". You must also Tribute monsters from your hand o",2.3,
0691,Fox Fire,Monster (Effect),300,200,"During the End Phase, if this card was destroyed by battle and sent to the Graveyard this turn and w",1.2,
0692,Freed the Brave Wanderer,Monster (Effect),1700,1200,Once per turn: You can banish 2 LIGHT monsters from your Graveyard to target 1 face-up monster on th,3.1,
0693,Freed the Matchless General,Monster (Effect),2300,1700,"Negate any Spell effects that target this card, and if you do, destroy that Spell Card. During your ",4.1,
0694,Freezing Beast,Monster (Effect),1500,1000,"Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to",2.4,
0695,Frenzied Panda,Monster (Normal),1200,1000,A savage beast that carries a big bamboo stick for beating down its enemies.,2.1,
0696,Frontier Wiseman,Monster (Effect),1600,800,"Negate any Spell effects that target a Warrior-Type monster you control, and if you do, destroy that",3.1,
0697,Frontline Base,Spell,,,Once per turn: You can Special Summon 1 Level 4 or lower Union monster from your hand.,2.3,
0698,Frozen Soul,Trap,,,You can only activate this card when your Life Points are at least 2000 lower than your opponent's. ,2.3,
0699,Fruits of Kozaky's Studies,Trap,,,Look at the top 3 cards of your Deck and return those cards to the top of the Deck in any order.,2.3,
0700,Fuh-Rin-Ka-Zan,Trap,,,"When there are face-up WIND, WATER, FIRE and EARTH monster(s) on the field: Apply 1 of these effects",4.5,
0701,Fuhma Shuriken,Spell,,,"Equip only to a ""Ninja"" monster. It gains 700 ATK. When this card is sent from the field to the Grav",2.3,
0702,Fulfillment of the Contract,Spell,,,"Activate this card by paying 800 LP, then target 1 Ritual Monster in your GY; Special Summon it and ",2.3,
0703,Fungi of the Musk,Monster (Normal),400,300,''Melts away anything that dares to stand before it.'',1.1,
0704,Fushi No Tori,Monster (Effect),1200,0,This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of ,2.2,
0705,Fushioh Richie,Monster (Effect),2600,2900,This card cannot be Normal Summoned or Set. This card can only be Special Summoned from your hand or,4.4,
0706,"Fusilier Dragon, the Dual-Mode Beast",Monster (Effect),2800,2000,"You can Normal Summon/Set this card without Tributing, but its original ATK and DEF become halved.",4.4,
0707,Fusion Gate,Spell,,,While this card is on the field: The turn player can Fusion Summon 1 Fusion Monster from their Extra,2.3,
0708,Fusion Recovery,Spell,,,"Target 1 ""Polymerization"" in your GY, and 1 monster in your GY that was used as material for a Fusio",2.3,
0709,Fusion Sage,Spell,,,"Add 1 ""Polymerization"" from your Deck to your hand.",2.3,
0710,Fusion Sword Murasame Blade,Spell,,,"Equip only to a Warrior-Type monster. It gains 800 ATK. While equipped to a monster, this card canno",2.3,
0711,Fusion Weapon,Spell,,,Equip only to a Level 6 or lower Fusion Monster. The equipped monster gains 1500 ATK and DEF.,1.4,
0712,Fusionist,Monster (Fusion),900,700,"""Petit Angel"" + ""Mystical Sheep #2""",3.5,
0713,Gadget Soldier,Monster (Normal),1800,2000,A rust-free machine warrior born to battle.,3.1,
0714,Gagagigo,Monster (Normal),1850,1000,"This young evildoer used to have an evil heart, but by meeting a special person, he discovered justi",3.1,
0715,Gaia Power,Spell,,,All EARTH monsters gain 500 ATK and lose 400 DEF.,1.4,
0716,Gaia Soul the Combustible Collective,Monster (Effect),2000,0,Once per turn: You can Tribute up to 2 Pyro-Type monsters; this card gains 1000 ATK for each. If thi,3.4,
0717,Gaia The Fierce Knight,Monster (Normal),2300,2100,''A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned wit,3.5,
0718,Gaia the Dragon Champion,Monster (Fusion),2600,2100,"""Gaia The Fierce Knight"" + ""Curse of Dragon""",4.3,
0719,Gale Dogra,Monster (Effect),650,600,You can pay 3000 Life Points to send 1 monster from your Extra Deck to the Graveyard.,1.4,
0720,Gale Lizard,Monster (Effect),1400,700,FLIP: Target 1 monster your opponent controls; return that target to the hand.,2.4,
0721,Gamble,Trap,,,You can only activate this card when your opponent's hand is 6 or more cards and your hand is 2 or l,2.3,
0722,Gamma the Magnet Warrior,Monster (Normal),1500,1800,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",2.3,
0723,Ganigumo,Monster (Normal),600,800,''A crab that binds its enemies with a sticky web and attacks them with its sharp claws.'',1.3,
0724,Garma Sword,Monster (Ritual),2550,2150,"This card can only be Ritual Summoned with the Ritual Spell Card, ""Garma Sword Oath"".",4.1,
0725,Garma Sword Oath,Spell,,,"This card is used to Ritual Summon ""Garma Sword"". You must also Tribute monsters whose total Levels ",2.3,
